K562	fdr_K562	lfc_K562	NCIH2030	fdr_NCIH2030	lfc_NCIH2030	LPS141	fdr_LPS141	lfc_LPS141	 SKMEL2	fdr_SKMEL2	lfc_SKMEL2
FZD9	0.822943	0.86598	KIN	0.96634	0.031931	MOXD1	1	-0.76382	FUT3	0.998835	-2.8689
RAB1A	1	-2.1868	RRBP1	1	-0.27244	ZSCAN1	0.14028	1.0843	C4BPA	0.998835	-4.0672
MPC2	1	-2.2598	HAPLN3	0.975814	-0.4914	MKNK2	1	-0.73865	NOA1	0.998835	-0.57048
UBAP2	1	-1.9557	TMEM56-RWDD3	0.773403	0.22044	FAM8A1	1	-0.62126	SNAPIN	0.998835	-2.2134
TEX29	0.629689	-1.5289	C18orf21	0.924093	-1.3278	SCAMP5	1	-0.59023	FAM195B	0.998835	-0.76498
TRPV5	0.282547	1.5785	THSD4	1	-0.36062	PCDHB4	1	-0.57824	NSRP1	0.998835	-0.57048
C14orf105	0.621911	-0.32051	SLC16A11	0.987741	-0.79117	C4orf47	1	-0.62861	C15orf56	0.998835	-1.8553
ETV3	1	-1.7958	STK3	0.641119	-0.38309	FOXP1	0.997678	-1.0486	FBXL6	0.998835	-3.2275
LATS1	1	-2.2833	OSR1	0.92643	0.065239	EFNA2	1	-0.45288	GRN	0.998835	-0.81887
GTF3A	0.851439	-3.4092	DLX2	0.88251	-0.48671	NT5C1A	1	-0.8041	HOXB4	0.998835	5.995
RBM24	0.621911	-0.44284	C10orf91	1	-0.25092	MGAT4D	0.849216	0.32044	KDM5B	0.998835	-0.16511
NLRP13	1	-1.7077	ZNF385C	0.983566	-0.70349	MEIOB	1	-0.073871	CYP4V2	0.998835	-3.9701
ZNF709	1	-1.9153	DPPA3	0.939412	0.30073	FYB	0.898393	-0.053085	NMRK2	0.998835	-3.8418
GLYATL3	1	-1.9211	FAM134A	0.930027	-0.53499	LMO7	1	-0.57705	GATA4	0.998835	-2.6355
FOXE1	0.910444	-1.716	TMEM175	0.987383	-0.53043	CRYBA4	0.961956	0.11782	CEBPG	0.998835	-3.0905
TUBA8	0.405018	-1.4701	LMF1	0.994346	-0.52603	CLEC3A	0.81215	0.30083	PPARGC1A	0.998835	-0.75118
TAF4B	1	-2.6073	GUCY2D	1	-0.42228	PGAM4	1	-0.29948	TAS2R20	0.998835	1.7501
KLRF2	1	-2.6573	GRAMD1B	0.994346	-0.40149	WDR73	1	-0.8157	PICK1	0.998835	-2.3569
GPN1	1	-2.4882	CCL19	1	-0.65304	AGBL1	1	-0.59377	PLEKHF2	0.998835	-2.3569
UQCRQ	0.853387	-1.6728	TROAP	0.975814	-0.50245	FAM227B	1	-0.35448	NMBR	0.998835	-2.3569
TMOD2	1	-1.6071	MRI1	1	-0.42911	E2F1	1	-0.51056	ZMYND15	0.998835	-2.4106
PEX1	0.708368	-2.6173	REPS1	0.942303	-0.5078	PHIP	1	-0.32928	BHLHA15	0.998835	-4.5653
TMEM65	1	-1.7635	SIMC1	0.530213	-0.18289	KCNK17	1	-0.25811	TTC12	0.998835	-3.4359
ZNF563	1	-1.6096	EPB41L4A	0.997378	-0.41372	ACCS	1	-0.013169	TP53TG5	0.998835	-1.3653
MYBBP1A	1	-1.8658	WISP2	1	-0.3114	NRN1	1	-0.49979	TOMM7	0.998835	-2.6355
MT1X	0.615833	0.38768	SPTBN1	0.994346	-0.25345	NBPF11	1	-1.2515	LILRA4	0.998835	-1.8263
OPA1	1	-0.73223	BOLA2B	0.915718	-0.44265	ZNF853	0.992437	0.10117	TEX12	0.998835	-1.8748
CCL18	0.591784	-0.78717	TMEM189	0.997378	-0.53819	SLC47A2	1	-0.37908	SLC25A42	0.998835	-3.8418
B4GALT6	1	-1.9368	RAB4A	1	-0.32742	NMT1	1	-0.59884	ZNF717	0.998835	-2.8202
LRMP	1	-1.7344	ACOX2	0.73785	0.34666	AMOTL2	0.666904	0.52931	TNRC6B	0.999025	-2.2506
RYR2	1	-0.14961	MYRF	0.903041	-1.0808	CYP7A1	0.81215	0.45027	LRRC10B	0.998835	-2.7952
MAD2L1	1	-2.1827	LCLAT1	0.915718	0.0042118	ADIPOR2	1	-0.32678	KLHL11	0.998835	-0.4476
SLC25A17	1	-1.7611	TMIGD2	0.994346	-0.61399	NEUROD1	0.895722	-0.45955	LRFN4	0.998835	-2.3906
C10orf105	1	-1.7926	PPP3CB	0.97123	-0.34243	PPAN-P2RY11	1	-0.85499	AKR1D1	0.998835	-0.75636
KLHL10	0.591784	-2.5633	C20orf78	0.565813	0.54635	ICE2	1	-1.7682	WNT9A	0.998835	2.2762
AIFM1	1	-2.5725	ARHGAP31	0.551081	0.45115	EAF1	0.898393	-0.87388	IER5L	0.998835	-4.7842
HAUS8	0.376349	-0.23976	RBMY1E	1	-0.57416	LMX1B	1	-0.35521	GLYR1	0.998835	-2.1359
ZBED1	1	-1.6076	LIPG	0.985054	-0.85328	SIRPB2	1	-0.44636	PORCN	0.998835	-4.3506
SERPINB6	1	-1.7874	PKN3	1	-0.22008	HDGF	1	-0.097033	TOX	0.998835	3.2529
ARHGAP27	0.851439	0.44259	DECR1	0.904278	-0.045502	OR5T2	1	0.034614	KCNJ18	0.998835	0.049557
TOR1A	0.910444	0.041262	TAF11	1	-0.49455	DEPDC1	1	-0.3261	AKR1A1	0.998835	-4.3333
PRSS58	1	-1.6415	IRF2BP1	0.362013	0.55862	HERC2	0.912875	-0.031362	POMK	0.998835	3.7349
DAP	0.813496	-2.1103	ZYG11A	0.814406	-0.53186	PDCD4	0.795928	0.10247	GNG13	0.998835	8.0821
FOXM1	1	-0.86407	BTK	1	-0.5408	ETV1	1	-0.85743	RC3H2	0.998835	-1.6302
WDR11	1	-2.5777	AIM1	1	-0.43529	FASN	0.953353	-0.66303	GPM6B	0.998835	-4.7391
MGAT4D	1	-2.3845	ATG12	0.994346	-0.46971	SNRPB	1	-0.84661	IRF5	0.998835	-2.8927
SPNS3	0.293846	1.0784	F2RL1	0.676449	-1.0755	DDX3X	1	-0.84661	PARP8	0.998835	-3.7407
BAHCC1	1	-0.96443	KIAA1614	0.90073	-0.97792	ITGA1	0.934937	-0.21937	ABCB10	0.998835	-3.8539
SEC22A	1	-1.9834	SEC22A	0.915718	0.14918	HLA-DQA2	0.507319	-0.33234	ZNF718	0.998835	-3.0905
FAM219B	1	-2.4837	ELMOD3	1	-0.65871	DEFA4	0.81215	0.12164	C11orf71	0.998835	9.6986
GZMA	1	-2.4837	CYSTM1	0.992984	-0.39935	KCNIP2	0.961956	-0.63182	DCAF4L2	0.998835	-4.58
SREBF2	1	-1.7476	SLC22A2	0.942303	-0.63487	NFIX	1	-0.12927	FAM155B	0.998835	-3.4835
CKAP2	1	-2.574	SFTPA1	0.939412	-0.77507	SLC22A13	0.868594	-0.0908	FAM167A	0.998835	3.6027
SHQ1	0.957193	-2.4403	HEBP1	1	-0.57326	MYH1	1	-0.072869	HNRNPDL	0.998835	-2.7439
DNM1L	1	-1.8715	ARF5	1	-0.34001	CYB5B	1	-1.0726	IL15	0.998835	-0.31326
C20orf203	0.092692	1.2774	SLIT2	0.994346	-0.06412	TMEM255B	1	-0.6546	ZNF530	0.998835	-2.4874
CAMK1G	1	0.042742	HIST1H1C	0.975814	-0.22669	AP4B1	0.963018	-0.52737	ASIC4	0.998835	-4.3928
HIST1H2BK	1	-1.5746	CRYAA	0.848761	-0.3676	ITPR3	1	-0.76786	PRR23A	0.998835	2.3546
TXLNG	1	-2.5872	RHPN1	1	-0.71068	XG	0.672529	0.55213	PDZD2	0.998835	3.5672
ARHGAP29	1	-1.4156	MADCAM1	0.997378	-0.70306	HMGN3	0.771012	-0.20357	FBXO44	0.998835	-2.3906
SHCBP1L	0.615833	-2.5568	MBD3L3	0.997767	-0.55109	LY96	0.898393	-0.25903	PAM	0.998835	-1.725
VPS13C	0.621911	-1.6868	MROH8	1	-0.30151	SRGAP3	1	-0.55959	FAM71F2	0.998835	-3.632
BCCIP	0.852662	-0.96433	CUL5	0.91444	-0.056621	APOA5	0.908287	-0.27041	MAS1	0.998835	-3.2644
XAGE2	0.909103	-1.7991	SHD	0.970683	-0.75556	TINAGL1	1	-0.8146	JMJD8	0.998835	-2.7952
ZSCAN26	1	-2.5507	SHC2	0.73785	0.18576	MPP2	0.92811	-0.81214	TXNDC15	0.998835	-5.0343
LOC730183	0.851439	-0.6987	SEC24A	1	-0.41468	CDC14B	1	-0.40349	ZNF730	0.998835	-0.54277
RPLP1	1	-2.211	CST4	0.822775	-0.48591	TCF7L1	0.912875	0.15627	C2CD3	0.998835	-4.0672
NDUFAF1	1	-2.5057	ZNF101	0.915718	-0.42257	TSPY3	0.972988	-0.62643	TNFAIP3	0.998835	-0.70812
FBP1	1	-1.5732	SLC9C1	0.822775	-0.35181	NRCAM	0.897144	-0.10547	PRKCDBP	0.998835	-2.4559
MRPS10	0.821696	-3.1215	ITPRIPL2	0.942303	-0.61158	CDH7	0.932463	0.17523	TCEANC	0.998835	-4.8883
CDC42SE1	0.666297	0.70236	LPGAT1	0.997225	-0.61646	COA6	1	-1.4955	GPR137B	0.998835	-2.7698
ZNF224	1	0.59048	CMIP	0.968263	-0.98529	NDNL2	1	-1.1548	SSSCA1	0.998835	-4.4894
PDE4DIP	0.72053	-0.67079	TMIGD1	1	-0.51354	SEMA4A	0.870878	0.22438	OVOL3	0.998835	-3.7794
SLC15A5	1	-1.2454	BTN3A1	0.83522	0.18854	F10	1	-0.64531	KCNJ16	0.998835	-0.36095
KLHL20	1	-2.4827	TSNAXIP1	0.835824	0.23274	KCTD10	1	-1.549	MCFD2	0.998835	-4.3246
PIK3CA	1	-1.8572	PCDHGA10	0.688381	-0.7966	USP39	0.977485	-0.62697	ZNF24	0.998835	3.2621
CCDC115	1	-1.5195	FAP	0.865383	-0.1426	C2orf81	1	-0.71084	CIZ1	0.998835	4.3321
ZC3H13	1	-2.2601	CBY3	0.995956	-0.51949	PCDHGB1	1	-0.45699	TARBP1	0.998835	-1.0644
N4BP2L2	1	-1.6401	RILPL2	0.599363	-0.50698	CNKSR1	0.849216	0.25545	FAAH	0.998835	-2.0482
TRAF2	1	-0.84897	LAPTM4B	0.896977	-0.79547	SRSF6	1	-0.69999	ANKRD39	0.998835	-2.2506
TBX1	1	-2.5561	SLC7A3	0.930027	-0.16685	RALGAPB	1	-1.2109	CDKL4	0.998835	-3.5448
GPR132	0.591784	-0.86102	OR5A2	0.999858	-0.56577	POC1A	0.319705	0.61641	C11orf96	0.998835	2.5419
DHX33	0.083591	2.7396	C17orf67	0.999858	-0.70743	CNOT11	1	-0.44597	DCAF5	0.998835	4.2738
RPRM	1	-1.6534	IL3RA	0.83068	0.44668	ADGRG4	1	-0.6446	APOBEC3F	0.998835	-2.1359
GADD45GIP1	1	-2.4822	OR2C3	0.999858	-0.35027	NMS	0.771012	-0.13675	MAGEC1	0.998835	3.9047
CYGB	1	-1.5007	FAM214B	0.999858	-0.67082	GOLGA8A	1	-0.35307	LZIC	0.998835	-3.2644
UBE2G1	1	-2.4531	RILPL1	0.957167	-0.20446	NIN	0.961956	0.16813	LDB2	0.998835	-2.984
TDRD3	1	-2.5186	CCZ1	0.836631	-0.6536	CCDC43	1	-0.58989	CSTF2T	0.998835	2.5178
FARP1	0.930357	-2.4037	EDRF1	0.999802	-0.34259	STK11	0.972988	-0.72814	HLA-DMB	0.998835	-2.4874
MYCL	1	-2.0456	TIMM17B	0.766637	0.38829	FAM208A	1	-1.6194	HLA-B	0.998835	4.3972
LEPR	1	-1.5101	FZD10	0.997378	-0.67855	EDEM1	0.972988	-0.54681	CALCRL	0.998835	-1.5559
GRIK3	1	-1.3118	HIST1H2BK	0.520399	0.39529	NXN	1	-0.4553	UGT1A10	0.998835	-2.3906
CGB2	1	-1.9273	STPG2	0.99976	-0.3695	HECTD3	1	-0.30121	TCEAL1	0.998835	-2.3906
FAM9B	1	-2.5342	GJC1	0.84445	0.34472	AGMAT	1	-0.86921	FSCN1	0.998835	-2.3906
PAIP2B	0.958593	0.090648	TRDMT1	0.972237	-0.25134	PLA2R1	0.841975	-0.50222	MYO10	0.998835	-2.1752
POLRMT	1	-2.7028	PARG	0.599363	0.50306	DAPP1	1	-0.47337	KRT9	0.998835	-2.3906
OR4F29	1	-2.7897	KRTAP22-2	0.989176	-0.11223	POU5F1B	0.917374	0.24605	PSD3	0.998835	1.8554
RRM1	1	-2.1855	KNSTRN	0.869814	-0.51479	ALG12	0.972988	-0.7192	KCNA7	0.998835	-2.3906
CNOT4	1	-0.19872	NR1I3	0.999432	-0.41493	ACOX3	0.487611	-0.52471	UGT3A2	0.998835	-2.4874
THNSL1	0.98797	-0.58359	TRADD	0.999432	-0.49281	HMGXB4	1	-0.48171	CBFB	0.998835	-0.81003
CRK	1	-2.1796	KRTAP5-10	0.80252	0.38728	MAP6D1	1	-0.44612	ZNF396	0.998835	-2.3906
LRIT2	0.591784	-0.61537	PEX13	0.976871	-0.54671	CXorf40B	0.882038	0.1847	RHBDL2	0.998835	-2.3906
HSFY2	0.591784	-1.1717	DKK4	0.975814	-0.27987	ZNF726	1	-0.16595	HTRA4	0.998835	-2.3906
MAPK8IP1	1	-2.4815	ARID1B	0.975814	0.0088753	NPAP1	1	-0.39149	SRCAP	0.998835	-2.3906
ANXA8	0.929363	-2.5213	KLHL36	0.955879	-0.45933	SSX4	0.655036	0.55301	EGLN2	0.998835	-2.3906
ZNF182	1	-1.0881	VPS37C	0.822775	0.13069	GOLGA2	1	-0.75503	TMEM109	0.998835	-2.3906
NAA15	1	-1.751	ZNF512	0.999356	-0.5602	SPRY2	1	-0.7997	SAMD15	0.998835	-2.3906
SNAP29	1	-1.751	DCSTAMP	0.852858	0.011884	PABPC1L2B	0.438332	0.61208	ALKBH1	0.998835	-1.7241
MED4	1	-1.7826	SARDH	0.994346	-0.44513	SPIN1	0.978201	0.054875	FASTKD3	0.998835	-2.3906
NSF	1	-1.751	CRLF2	0.997378	-0.62168	PIK3CA	1	-0.91393	VSIG10L	0.998835	-2.3906
TSFM	1	-1.8571	PTPRO	0.798264	-0.00168	SYT11	1	-0.59758	CDH6	0.998835	-2.3906
SIN3A	1	-1.7168	POLE3	0.999296	-0.9093	DEFB126	0.972988	-0.70233	BTBD18	0.998835	-2.3906
FBXW11	1	-0.86448	SLC25A11	0.92643	-0.017253	TTC13	1	-0.63157	PLA2G7	0.998835	-2.3906
DHX15	1	-3.0175	BEST3	0.915718	-0.61235	ARX	1	-0.38285	ERBB2IP	0.998835	-2.3906
CYBA	1	-1.8618	OR2T1	0.975814	-0.000844	TBX15	0.996518	-0.54597	GRAMD1B	0.998835	-2.1359
EGFLAM	0.591784	-2.4935	PPP2R5A	0.997596	-0.72236	NKD1	0.62297	0.50093	XAGE3	0.998835	2.3163
C14orf39	1	-2.3329	FMO1	0.999063	-0.55929	YIPF3	0.895722	-0.62634	MDFI	0.998835	-2.3906
KIAA0355	1	-1.5842	ARL14EPL	0.993488	-0.22666	TRPC4AP	1	-0.45057	HIST1H2BF	0.998835	-1.4317
CDCP1	0.591784	-0.91266	KNCN	0.471721	-0.72306	HES6	1	-0.54889	PLEC	0.998835	-2.3906
FUT5	0.785778	0.36941	SPARCL1	0.970683	-0.086963	ST3GAL5	0.898393	-0.048215	SETDB2	0.998835	-2.3906
GPC5	1	-3.5419	XPO4	0.865383	0.16982	CYFIP1	1	-0.44103	MAP3K15	0.998835	2.0725
DERL2	0.572735	-1.559	PHKG1	0.998939	-0.42194	ZNF75D	1	-0.57436	RANGRF	0.998835	-3.1508
MEGF10	1	-1.8411	AIDA	0.973789	-0.40606	ADRA1B	1	-0.71878	SEC11C	0.998835	-2.3906
HMMR	1	-2.1086	SSFA2	0.718841	0.84868	ORC3	1	-1.1147	LZTR1	0.998835	-2.181
PRKAG2	1	-1.6834	KIAA1024L	0.677499	-0.33053	PRR23B	0.364094	0.49428	AVPR1A	0.998835	2.1006
OR4K5	0.987508	0.27988	EPHA2	0.992984	-0.1345	PAIP2B	0.912875	-0.60616	GLIS1	0.998835	-2.7952
LRRC48	1	-1.8838	C7orf31	0.998794	-0.63138	PLA2G4B	1	-0.53111	ATG4C	0.998835	1.8651
RPS10-NUDT3	1	-2.0218	IL9R	0.814406	0.10545	HAVCR1	0.972143	-0.12021	THEM4	0.998835	-0.97823
TOMM20	1	-1.8565	PTH2	0.957167	-0.21345	ANXA1	1	-0.19832	SNRPN	0.998835	2.2182
ATAD1	1	-1.9532	F8	0.92004	-0.18087	RTF1	1	-0.78204	C11orf87	0.998835	-2.7176
AKIRIN2	1	-0.055936	VAMP8	0.998794	-0.46909	SPATA19	1	-0.26643	RGS7	0.998835	5.995
UGP2	1	-0.98195	CYB5R4	0.998794	-0.38736	DEF6	1	-0.80047	HOGA1	0.998835	7.3971
SOBP	1	-1.9819	CDC23	0.975814	-2.8672	OR5V1	0.996518	-0.15295	TM4SF18	0.998835	-1.4317
ARSI	0.563372	0.96209	FBXW12	0.930027	0.04502	DDI2	1	-1.3709	LNX1	0.998835	6.5935
RETSAT	1	-1.7853	CBLN2	0.684578	0.37342	GPR142	1	-0.4308	GPR35	0.998835	2.7965
RARS2	1	-2.0093	PUS10	0.924093	-0.94732	TMEM249	1	-0.50665	LYZL4	0.998835	7.9468
DNAJC17	1	-1.8499	ABCC5	0.998758	-0.38621	CT45A5	1	-0.77808	PMS2	0.998835	1.0883
TUFM	1	-3.1215	FKBP9	0.684578	-0.33813	ZFP36L2	1	-0.35285	MTFP1	0.998835	-2.1752
KRBA2	0.621911	-2.4982	KCNJ3	0.994346	-0.5857	LDHB	0.972988	0.015507	B3GNTL1	0.998835	-2.7439
MTIF2	0.815295	-2.3277	NCR1	0.949231	-0.51979	PTPRE	1	-0.43156	FRY	0.998835	-2.0999
SIM1	1	-1.3133	CCKAR	0.998758	-0.30293	DPH1	1	-0.85263	USP37	0.998835	0
ZC3H12A	1	-1.7094	DHRS2	0.998758	-0.40414	SETDB1	1	-1.0246	ZNF532	0.998835	-3.7667
KCNN1	1	-2.4938	ZNF774	0.994346	-0.14597	PSTPIP2	1	-0.63494	SGPP2	0.998835	-0.68372
RPL8	0.894421	-1.1263	CNIH3	0.551735	-0.14446	EDN2	1	-0.6867	DEFA1B	0.998835	-3.7537
BLNK	0.517272	1.045	C19orf60	0.998655	-0.40938	CMTR1	1	-2.2927	C1orf110	0.998835	-0.67042
RMND5A	0.566081	0.93497	KIAA1462	0.825622	-0.0021989	TRIM54	0.912875	-0.14865	GATA6	0.998835	0.49175
SLC10A7	0.283728	-1.2795	SLC2A9	0.998655	-0.32838	ADARB1	1	-0.38997	NUDT8	0.998835	-4.6583
ENTPD4	0.691464	-2.4405	TMEM249	0.915718	-0.0046918	MGMT	1	-0.088554	MB21D1	0.998835	2.0894
GSTA1	1	-1.9082	GFRA4	0.985054	-0.37258	MNT	0.777344	-0.69866	DUSP4	0.998835	-2.6071
SMAP2	1	-2.4702	ARHGAP35	0.998655	-0.35764	VMAC	1	-0.38511	RFESD	0.998835	2.5174
NTS	1	-1.7976	ZC3H7A	0.538233	0.68504	SLC9B1	1	-0.55763	FOLR2	0.998835	-2.078
ABCC8	1	-1.2414	GATAD2A	0.915718	-0.33224	OR2T35	1	-0.33605	PLXDC1	0.998835	-1.9218
SLC18A3	1	-1.8214	EPPIN-WFDC6	0.97541	-0.67639	ARL3	1	-0.5225	FEZF2	0.998835	8.9905
HLA-C	1	-1.5422	SLC12A1	0.95472	-0.59581	LCA5	0.947831	-0.77955	HIST3H2BB	0.998835	-1.7761
ADA	0.454718	-0.42161	NNAT	0.965991	-0.33329	HTRA1	0.771012	0.30509	TLCD1	0.998835	-0.68372
RNF20	1	-2.519	SSX2IP	0.92643	0.11329	SOX1	1	-0.55694	SLC30A7	0.998835	-3.5745
WIPF1	1	-2.519	C1S	0.915718	-0.78414	IQCJ-SCHIP1	1	-0.5225	INHA	0.998835	-2.8927
PTPRG	0.613448	0.15532	KCTD1	0.941466	-0.046821	TROAP	0.567744	-0.64708	CD5L	0.998835	-0.57048
FCER1A	1	-1.4486	KPRP	0.88251	-0.44215	SSR3	1	-0.68026	HIST1H4L	0.998835	-2.0425
FAM8A1	1	-1.4943	MAPKBP1	0.916573	-0.37116	SGMS2	0.771012	0.13698	DNAH14	0.998835	0.2491
GUK1	1	-2.0311	TPPP	0.841169	0.080205	TAS1R2	1	-0.4681	UBE2Q2	0.998835	-0.16511
SRRT	1	-2.3485	SLC13A3	0.97541	-0.69117	PPM1J	1	-0.30533	SMYD5	0.998835	-1.5559
RFTN2	1	-1.6214	IL17B	0.773403	0.28687	PNLIPRP2	1	0.055536	CREBBP	0.998835	-1.7241
ANXA1	0.248441	-0.63941	WNT9A	0.963167	-0.06979	MRPL39	1	-1.4163	PIGR	0.998835	1.4427
CORO6	0.785778	-1.6107	SF3B3	0.957543	-0.96852	MGLL	1	-0.49823	BTBD3	0.998835	-1.6702
SETD1A	1	-1.6432	GPR75-ASB3	0.99862	-0.46885	ELAVL3	0.771012	0.13344	NOTCH3	0.998835	2.2173
FABP12	1	-1.6584	CLPSL1	0.970683	-0.48404	AKAP7	1	0.081136	REM1	0.998835	-2.3569
SUMO2	0.441842	-2.1103	SERP2	0.99862	-0.39621	ADCY9	0.406749	0.16656	EMX1	0.998835	-2.3569
LRTM1	1	-1.8333	ERI1	0.99862	-0.2318	HFE2	1	-0.39973	HMGA2	0.998835	-2.3569
CCDC105	0.591784	-2.4268	STMND1	0.824237	0.29349	TXNDC8	1	-0.63999	ERICH2	0.998835	-0.16511
CISD2	1	-1.5055	CCDC78	0.930027	-0.74656	WDR11	1	-0.45942	TACR2	0.998835	-2.3569
ITGA2	1	-2.451	PRR23C	0.833994	0.15343	CENPO	1	-0.33021	GSTCD	0.998835	-2.3569
NUBP1	0.248441	1.2643	MAGEB6	0.975814	-0.37759	HOMER3	0.236091	1.2022	EVPL	0.998835	-2.3569
NPIPA2	1	-1.9557	FAM131A	0.942037	-0.03898	ATXN7L2	1	-1.3819	LSM12	0.998835	-1.6702
ORC6	1	-1.9557	SRPK1	0.963167	-0.4067	PCTP	1	-0.3235	NEURL2	0.998835	-2.3569
PRSS42	1	-1.5319	SLC9A9	0.998617	-0.39452	THAP10	0.963018	-0.6681	METTL2B	0.998835	-2.3906
DRAXIN	0.621911	-2.4387	CYTL1	0.942303	-0.4464	CYTH1	1	-0.166	ABCA8	0.998835	-2.3569
TMEM14C	1	-2.431	NAA30	0.998617	-0.4639	PCDHGA11	1	-0.46759	C6orf25	0.998835	-2.6907
FUT8	0.529516	0.34815	C12orf66	0.924093	-0.43905	PLEKHG7	0.80368	0.17132	TSPYL4	0.998835	-2.7439
LCA5	1	-0.92973	TAS2R20	0.998603	-0.28959	ANKRD45	1	-0.47626	AIMP1	0.998835	-2.9617
TSPAN6	0.665271	0.81479	METAP1D	0.896977	-0.54721	MSL2	1	-0.41251	HELZ2	0.998835	-2.3569
OR2M5	0.591784	-0.78418	STRA6	0.992984	-0.47019	CRYBB3	1	-0.1172	OCEL1	0.998835	-2.3569
HEATR6	1	-1.8965	LHX9	0.997596	-0.25244	RNF20	0.252874	0.70263	BDH2	0.998835	-3.3697
DLL1	1	-2.4045	ZHX2	0.998603	-0.4252	RPS10-NUDT3	1	-1.2763	MYOT	0.998835	0.36296
GABBR1	1	-1.1539	EIF2D	0.942303	0.057535	CSHL1	1	-0.5904	C7orf43	0.998835	-2.3569
FAM167B	0.591784	-0.91526	ASIC5	0.835824	0.22877	STOX1	0.672529	0.47992	FBXL12	0.998835	-2.3569
ST5	1	-2.2601	TOMM7	0.975814	-0.62673	WFIKKN2	1	-0.6953	LOC643355	0.998835	-2.3569
RUVBL1	1	0	PRR19	0.95472	0.097061	RER1	0.81215	-0.51868	EPS8L1	0.998835	-2.3569
DHRS1	1	-1.651	CCDC129	0.92643	-0.022027	KNSTRN	1	-0.68661	SLC25A38	0.998835	-2.0955
TECTB	1	-1.4282	LGI4	0.186494	1.0433	COL11A2	0.319705	0.8188	TLX2	0.998835	-1.0644
PDGFB	1	-1.8945	ICAM3	0.975814	-0.54606	SPAG17	1	-0.18251	MAGED4B	0.998835	2.141
DCST2	1	-2.4345	ADAM23	0.85408	0.3564	OR2AE1	1	-0.56564	TMEM234	0.998835	-2.3569
SLC37A3	1	-1.8123	VSIG1	0.820732	-0.46492	ZNF845	1	-0.34658	THSD1	0.998835	-2.3569
RNF4	1	-1.4693	OR6C70	0.891202	-0.027115	IL16	1	-0.71786	NEU1	0.998835	-2.3569
MRPL15	1	-1.535	ZNF726	0.992354	-0.079041	IVD	1	-0.3848	SHMT2	0.998835	-0.78871
TIMM10	1	-3.1442	PLK2	0.731363	-0.17778	ANKRD1	0.972988	-0.50477	KCNJ9	0.998835	0.17008
CNTD1	0.670563	-1.1477	PDCD10	0.997596	-0.61635	CCL14	1	-0.33677	ZNF660	0.998835	-2.3569
ESRP2	1	-2.4108	PAX5	0.998487	-0.37152	CFAP57	1	-0.56007	NKD1	0.998835	-2.3223
EXOSC6	0.508305	1.0609	QDPR	0.975814	-0.54401	OR4A15	0.407591	0.73388	PIP5KL1	0.998835	-2.3569
OR51I1	1	-0.68362	OR2G6	0.918011	0.1215	GID8	1	-0.39248	SLK	0.998835	-3.66
DGCR14	0.591784	-3.051	NLRC4	0.621711	0.22723	REPS2	0.81215	-0.04558	PRSS57	0.998835	-1.2958
RPAP2	1	-3.2143	KRT222	0.998487	-0.40217	C3orf14	1	-0.48134	LCORL	0.998835	-1.3653
PFAS	1	-1.5859	MRPL28	0.998487	-1.2001	CITED2	1	-0.29811	TMEM8C	0.998835	-1.4951
TSPAN4	1	-1.5802	AP2A2	0.90719	0.12831	RAD54L	1	-0.75713	FJX1	0.998835	-2.3569
CSN1S1	1	-2.4047	SLC2A4	0.896977	-0.042059	SAR1A	1	-0.32873	ATP8B3	0.998835	-2.3569
INSL4	1	-1.7501	PSAPL1	0.810821	-0.43071	GMEB1	1	-0.53685	DFFB	0.998835	-2.0101
SSMEM1	0.591784	0.42939	ENOPH1	0.814406	0.023805	DGCR6	0.963018	-0.0075948	TRIM41	0.998835	-1.0644
OR6B3	0.886552	-2.4183	KITLG	0.987741	-0.20381	CA12	1	-0.41855	SFRP5	0.998835	-3.632
CNOT2	1	-1.4177	ARSA	0.997378	-0.47938	GK2	1	-0.44345	IQGAP3	0.998835	3.1966
FAM169A	1	-2.398	UQCR10	0.997378	-0.43964	NUDCD2	1	-0.12267	CHRNB3	0.998835	-1.8263
GCC1	0.405018	0.28307	CCDC149	0.930027	-0.35923	RCC2	1	-0.50575	C9orf139	0.998835	-2.984
HEATR3	1	-1.1329	KREMEN1	0.997378	-0.2565	TMEM18	1	-0.39783	TRIM47	0.998835	-2.6355
GAL	0.383056	1.3093	GNL3L	0.998487	-0.46412	EIF2B5	1	-1.6259	CCT6B	0.998835	-2.5781
KIF5A	0.621911	0.45642	ACTN4	0.915718	-0.50443	NPY5R	1	-0.61856	SLC20A1	0.998835	-0.31326
FAM19A3	0.809366	-0.70675	PHGR1	0.942147	0.086994	OIP5	1	-1.0742	CCDC90B	0.998835	-2.7952
MRPL44	0.625264	-0.23976	ARHGAP21	0.998487	-0.30079	DLL4	1	-0.19995	ARID2	0.998835	-1.1457
UBN2	0.670563	-1.6432	TMEM192	0.987741	-0.37429	CHI3L2	0.926922	-0.028393	BICC1	0.998835	-3.4678
PYCARD	1	-1.729	KLHL11	0.998487	-0.51068	ADO	1	-0.72001	AGPAT3	0.998835	-2.4236
NIM1K	1	-2.3793	RGL1	0.289505	0.63088	ITGA5	0.898393	0.076771	CX3CL1	0.998835	0.93178
PPM1A	1	-1.5721	FOXD4L4	0.939412	0.17779	NOSTRIN	1	-0.4306	WDR31	0.998835	-2.7176
